infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,pastparticiple
criarse,Indicativo,Pretérito anterior,me hube criado,te hubiste criado,se hubo criado,nos hubimos criado,os hubisteis criado,se hubieron criado,criándose,criado
criarse,Indicativo,Condicional perfecto,me habría criado,te habrías criado,se habría criado,nos habríamos criado,os habríais criado,se habrían criado,criándose,criado
criarse,Subjuntivo,Presente,me críe,te críes,se críe,nos criemos,os criéis,se críen,criándose,criado
criarse,Subjuntivo,Imperfecto,me criara,te criaras,se criara,nos criáramos,os criarais,se criaran,criándose,criado
criarse,Subjuntivo,Futuro,me criare,te criares,se criare,nos criáremos,os criareis,se criaren,criándose,criado
criarse,Subjuntivo,Presente perfecto,me haya criado,te hayas criado,se haya criado,nos hayamos criado,os hayáis criado,se hayan criado,criándose,criado
criarse,Subjuntivo,Futuro perfecto,me hubiere criado,te hubieres criado,se hubiere criado,nos hubiéremos criado,os hubiereis criado,se hubieren criado,criándose,criado
criarse,Subjuntivo,Pluscuamperfecto,me hubiera criado,te hubieras criado,se hubiera criado,nos hubiéramos criado,os hubierais criado,se hubieran criado,criándose,criado
criarse,Imperativo Afirmativo,Presente,,críate,criaos,,críese,críense,criándose,criado
criarse,Imperativo Negativo,Presente,,no te críes,no os criéis,,no se críe,no se críen,criándose,criado
criticar,Indicativo,Presente,critico,criticas,critica,criticamos,criticáis,critican,criticando,criticado
criticar,Indicativo,Futuro,criticaré,criticarás,criticará,criticaremos,criticaréis,criticarán,criticando,criticado
criticar,Indicativo,Imperfecto,criticaba,criticabas,criticaba,criticábamos,criticabais,criticaban,criticando,criticado
criticar,Indicativo,Pretérito,critiqué,criticaste,criticó,criticamos,criticasteis,criticaron,criticando,criticado
criticar,Indicativo,Condicional,criticaría,criticarías,criticaría,criticaríamos,criticaríais,criticarían,criticando,criticado
criticar,Indicativo,Presente perfecto,he criticado,has criticado,ha criticado,hemos criticado,habéis criticado,han criticado,criticando,criticado
criticar,Indicativo,Futuro perfecto,habré criticado,habrás criticado,habrá criticado,habremos criticado,habréis criticado,habrán criticado,criticando,criticado
criticar,Indicativo,Pluscuamperfecto,había criticado,habías criticado,había criticado,habíamos criticado,habíais criticado,habían criticado,criticando,criticado
criticar,Indicativo,Pretérito anterior,hube criticado,hubiste criticado,hubo criticado,hubimos criticado,hubisteis criticado,hubieron criticado,criticando,criticado
criticar,Indicativo,Condicional perfecto,habría criticado,habrías criticado,habría criticado,habríamos criticado,habríais criticado,habrían criticado,criticando,criticado
criticar,Subjuntivo,Presente,critique,critiques,critique,critiquemos,critiquéis,critiquen,criticando,criticado
