infinitive,mood,tense,form_1s,form_2s,form_3s,form_1p,form_2p,form_3p,gerund,pastparticiple
abandonar,Indicativo,Presente,abandono,abandonas,abandona,abandonamos,abandonáis,abandonan,abandonando,abandonado
abandonar,Indicativo,Futuro,abandonaré,abandonarás,abandonará,abandonaremos,abandonaréis,abandonarán,abandonando,abandonado
abandonar,Indicativo,Imperfecto,abandonaba,abandonabas,abandonaba,abandonábamos,abandonabais,abandonaban,abandonando,abandonado
abandonar,Indicativo,Pretérito,abandoné,abandonaste,abandonó,abandonamos,abandonasteis,abandonaron,abandonando,abandonado
abandonar,Indicativo,Condicional,abandonaría,abandonarías,abandonaría,abandonaríamos,abandonaríais,abandonarían,abandonando,abandonado
abandonar,Indicativo,Presente perfecto,he abandonado,has abandonado,ha abandonado,hemos abandonado,habéis abandonado,han abandonado,abandonando,abandonado
abandonar,Indicativo,Futuro perfecto,habré abandonado,habrás abandonado,habrá abandonado,habremos abandonado,habréis abandonado,habrán abandonado,abandonando,abandonado
abandonar,Indicativo,Pluscuamperfecto,había abandonado,habías abandonado,había abandonado,habíamos abandonado,habíais abandonado,habían abandonado,abandonando,abandonado
abandonar,Indicativo,Pretérito anterior,hube abandonado,hubiste abandonado,hubo abandonado,hubimos abandonado,hubisteis abandonado,hubieron abandonado,abandonando,abandonado
abandonar,Indicativo,Condicional perfecto,habría abandonado,habrías abandonado,habría abandonado,habríamos abandonado,habríais abandonado,habrían abandonado,abandonando,abandonado
abandonar,Subjuntivo,Presente,abandone,abandones,abandone,abandonemos,abandonéis,abandonen,abandonando,abandonado
abandonar,Subjuntivo,Imperfecto,abandonara,abandonaras,abandonara,abandonáramos,abandonarais,abandonaran,abandonando,abandonado
abandonar,Subjuntivo,Futuro,abandonare,abandonares,abandonare,abandonáremos,abandonareis,abandonaren,abandonando,abandonado
abandonar,Subjuntivo,Presente perfecto,haya abandonado,hayas abandonado,haya abandonado,hayamos abandonado,hayáis abandonado,hayan abandonado,abandonando,abandonado
abandonar,Subjuntivo,Futuro perfecto,hubiere abandonado,hubieres abandonado,hubiere abandonado,hubiéremos abandonado,hubiereis abandonado,hubieren abandonado,abandonando,abandonado
abandonar,Subjuntivo,Pluscuamperfecto,hubiera abandonado,hubieras abandonado,hubiera abandonado,hubiéramos abandonado,hubierais abandonado,hubieran abandonado,abandonando,abandonado
abandonar,Imperativo Afirmativo,Presente,,abandona,abandonad,,abandone,abandonen,abandonando,abandonado
abandonar,Imperativo Negativo,Presente,,no abandones,no abandonéis,,no abandone,no abandonen,abandonando,abandonado
abordar,Indicativo,Presente,abordo,abordas,aborda,abordamos,abordáis,abordan,abordando,abordado
abordar,Indicativo,Futuro,abordaré,abordarás,abordará,abordaremos,abordaréis,abordarán,abordando,abordado
abordar,Indicativo,Imperfecto,abordaba,abordabas,abordaba,abordábamos,abordabais,abordaban,abordando,abordado
abordar,Indicativo,Pretérito,abordé,abordaste,abordó,abordamos,abordasteis,abordaron,abordando,abordado
abordar,Indicativo,Condicional,abordaría,abordarías,abordaría,abordaríamos,abordaríais,abordarían,abordando,abordado
abordar,Indicativo,Presente perfecto,he abordado,has abordado,ha abordado,hemos abordado,habéis abordado,han abordado,abordando,abordado
abordar,Indicativo,Futuro perfecto,habré abordado,habrás abordado,habrá abordado,habremos abordado,habréis abordado,habrán abordado,abordando,abordado
abordar,Indicativo,Pluscuamperfecto,había abordado,habías abordado,había abordado,habíamos abordado,habíais abordado,habían abordado,abordando,abordado
abordar,Indicativo,Pretérito anterior,hube abordado,hubiste abordado,hubo abordado,hubimos abordado,hubisteis abordado,hubieron abordado,abordando,abordado
abordar,Indicativo,Condicional perfecto,habría abordado,habrías abordado,habría abordado,habríamos abordado,habríais abordado,habrían abordado,abordando,abordado
abordar,Subjuntivo,Presente,aborde,abordes,aborde,abordemos,abordéis,aborden,abordando,abordado
abordar,Subjuntivo,Imperfecto,abordara,abordaras,abordara,abordáramos,abordarais,abordaran,abordando,abordado
abordar,Subjuntivo,Futuro,abordare,abordares,abordare,abordáremos,abordareis,abordaren,abordando,abordado
abordar,Subjuntivo,Presente perfecto,haya abordado,hayas abordado,haya abordado,hayamos abordado,hayáis abordado,hayan abordado,abordando,abordado
abordar,Subjuntivo,Futuro perfecto,hubiere abordado,hubieres abordado,hubiere abordado,hubiéremos abordado,hubiereis abordado,hubieren abordado,abordando,abordado
abordar,Subjuntivo,Pluscuamperfecto,hubiera abordado,hubieras abordado,hubiera abordado,hubiéramos abordado,hubierais abordado,hubieran abordado,abordando,abordado
abordar,Imperativo Afirmativo,Presente,,aborda,abordad,,aborde,aborden,abordando,abordado
abordar,Imperativo Negativo,Presente,,no abordes,no abordéis,,no aborde,no aborden,abordando,abordado
abortar,Indicativo,Presente,aborto,abortas,aborta,abortamos,abortáis,abortan,abortando,abortado
abortar,Indicativo,Futuro,abortaré,abortarás,abortará,abortaremos,abortaréis,abortarán,abortando,abortado
abortar,Indicativo,Imperfecto,abortaba,abortabas,abortaba,abortábamos,abortabais,abortaban,abortando,abortado
abortar,Indicativo,Pretérito,aborté,abortaste,abortó,abortamos,abortasteis,abortaron,abortando,abortado
abortar,Indicativo,Condicional,abortaría,abortarías,abortaría,abortaríamos,abortaríais,abortarían,abortando,abortado
abortar,Indicativo,Presente perfecto,he abortado,has abortado,ha abortado,hemos abortado,habéis abortado,han abortado,abortando,abortado
abortar,Indicativo,Futuro perfecto,habré abortado,habrás abortado,habrá abortado,habremos abortado,habréis abortado,habrán abortado,abortando,abortado
abortar,Indicativo,Pluscuamperfecto,había abortado,habías abortado,había abortado,habíamos abortado,habíais abortado,habían abortado,abortando,abortado
abortar,Indicativo,Pretérito anterior,hube abortado,hubiste abortado,hubo abortado,hubimos abortado,hubisteis abortado,hubieron abortado,abortando,abortado
abortar,Indicativo,Condicional perfecto,habría abortado,habrías abortado,habría abortado,habríamos abortado,habríais abortado,habrían abortado,abortando,abortado
abortar,Subjuntivo,Presente,aborte,abortes,aborte,abortemos,abortéis,aborten,abortando,abortado
abortar,Subjuntivo,Imperfecto,abortara,abortaras,abortara,abortáramos,abortarais,abortaran,abortando,abortado
abortar,Subjuntivo,Futuro,abortare,abortares,abortare,abortáremos,abortareis,abortaren,abortando,abortado
abortar,Subjuntivo,Presente perfecto,haya abortado,hayas abortado,haya abortado,hayamos abortado,hayáis abortado,hayan abortado,abortando,abortado
abortar,Subjuntivo,Futuro perfecto,hubiere abortado,hubieres abortado,hubiere abortado,hubiéremos abortado,hubiereis abortado,hubieren abortado,abortando,abortado
abortar,Subjuntivo,Pluscuamperfecto,hubiera abortado,hubieras abortado,hubiera abortado,hubiéramos abortado,hubierais abortado,hubieran abortado,abortando,abortado
abortar,Imperativo Afirmativo,Presente,,aborta,abortad,,aborte,aborten,abortando,abortado
abortar,Imperativo Negativo,Presente,,no abortes,no abortéis,,no aborte,no aborten,abortando,abortado
abrazar,Indicativo,Presente,abrazo,abrazas,abraza,abrazamos,abrazáis,abrazan,abrazando,abrazado
abrazar,Indicativo,Futuro,abrazaré,abrazarás,abrazará,abrazaremos,abrazaréis,abrazarán,abrazando,abrazado
abrazar,Indicativo,Imperfecto,abrazaba,abrazabas,abrazaba,abrazábamos,abrazabais,abrazaban,abrazando,abrazado
abrazar,Indicativo,Pretérito,abracé,abrazaste,abrazó,abrazamos,abrazasteis,abrazaron,abrazando,abrazado
abrazar,Indicativo,Condicional,abrazaría,abrazarías,abrazaría,abrazaríamos,abrazaríais,abrazarían,abrazando,abrazado
abrazar,Indicativo,Presente perfecto,he abrazado,has abrazado,ha abrazado,hemos abrazado,habéis abrazado,han abrazado,abrazando,abrazado
abrazar,Indicativo,Futuro perfecto,habré abrazado,habrás abrazado,habrá abrazado,habremos abrazado,habréis abrazado,habrán abrazado,abrazando,abrazado
abrazar,Indicativo,Pluscuamperfecto,había abrazado,habías abrazado,había abrazado,habíamos abrazado,habíais abrazado,habían abrazado,abrazando,abrazado
abrazar,Indicativo,Pretérito anterior,hube abrazado,hubiste abrazado,hubo abrazado,hubimos abrazado,hubisteis abrazado,hubieron abrazado,abrazando,abrazado
abrazar,Indicativo,Condicional perfecto,habría abrazado,habrías abrazado,habría abrazado,habríamos abrazado,habríais abrazado,habrían abrazado,abrazando,abrazado
abrazar,Subjuntivo,Presente,abrace,abraces,abrace,abracemos,abracéis,abracen,abrazando,abrazado
abrazar,Subjuntivo,Imperfecto,abrazara,abrazaras,abrazara,abrazáramos,abrazarais,abrazaran,abrazando,abrazado
abrazar,Subjuntivo,Futuro,abrazare,abrazares,abrazare,abrazáremos,abrazareis,abrazaren,abrazando,abrazado
abrazar,Subjuntivo,Presente perfecto,haya abrazado,hayas abrazado,haya abrazado,hayamos abrazado,hayáis abrazado,hayan abrazado,abrazando,abrazado
abrazar,Subjuntivo,Futuro perfecto,hubiere abrazado,hubieres abrazado,hubiere abrazado,hubiéremos abrazado,hubiereis abrazado,hubieren abrazado,abrazando,abrazado
abrazar,Subjuntivo,Pluscuamperfecto,hubiera abrazado,hubieras abrazado,hubiera abrazado,hubiéramos abrazado,hubierais abrazado,hubieran abrazado,abrazando,abrazado
abrazar,Imperativo Afirmativo,Presente,,abraza,abrazad,,abrace,abracen,abrazando,abrazado
abrazar,Imperativo Negativo,Presente,,no abraces,no abracéis,,no abrace,no abracen,abrazando,abrazado
abrir,Indicativo,Presente,abro,abres,abre,abrimos,abrís,abren,abriendo,abierto
abrir,Indicativo,Futuro,abriré,abrirás,abrirá,abriremos,abriréis,abrirán,abriendo,abierto
abrir,Indicativo,Imperfecto,abría,abrías,abría,abríamos,abríais,abrían,abriendo,abierto
abrir,Indicativo,Pretérito,abrí,abriste,abrió,abrimos,abristeis,abrieron,abriendo,abierto
abrir,Indicativo,Condicional,abriría,abrirías,abriría,abriríamos,abriríais,abrirían,abriendo,abierto
abrir,Indicativo,Presente perfecto,he abierto,has abierto,ha abierto,hemos abierto,habéis abierto,han abierto,abriendo,abierto
abrir,Indicativo,Futuro perfecto,habré abierto,habrás abierto,habrá abierto,habremos abierto,habréis abierto,habrán abierto,abriendo,abierto
abrir,Indicativo,Pluscuamperfecto,había abierto,habías abierto,había abierto,habíamos abierto,habíais abierto,habían abierto,abriendo,abierto
abrir,Indicativo,Pretérito anterior,hube abierto,hubiste abierto,hubo abierto,hubimos abierto,hubisteis abierto,hubieron abierto,abriendo,abierto
abrir,Indicativo,Condicional perfecto,habría abierto,habrías abierto,habría abierto,habríamos abierto,habríais abierto,habrían abierto,abriendo,abierto
abrir,Subjuntivo,Presente,abra,abras,abra,abramos,abráis,abran,abriendo,abierto
abrir,Subjuntivo,Imperfecto,abriera,abrieras,abriera,abriéramos,abrierais,abrieran,abriendo,abierto
abrir,Subjuntivo,Futuro,abriere,abrieres,abriere,abriéremos,abriereis,abrieren,abriendo,abierto
abrir,Subjuntivo,Presente perfecto,haya abierto,hayas abierto,haya abierto,hayamos abierto,hayáis abierto,hayan abierto,abriendo,abierto
abrir,Subjuntivo,Futuro perfecto,hubiere abierto,hubieres abierto,hubiere abierto,hubiéremos abierto,hubiereis abierto,hubieren abierto,abriendo,abierto
abrir,Subjuntivo,Pluscuamperfecto,hubiera abierto,hubieras abierto,hubiera abierto,hubiéramos abierto,hubierais abierto,hubieran abierto,abriendo,abierto
abrir,Imperativo Afirmativo,Presente,,abre,abrid,,abra,abran,abriendo,abierto
abrir,Imperativo Negativo,Presente,,no abras,no abráis,,no abra,no abran,abriendo,abierto
aburrir,Indicativo,Presente,aburro,aburres,aburre,aburrimos,aburrís,aburren,aburriendo,aburrido
aburrir,Indicativo,Futuro,aburriré,aburrirás,aburrirá,aburriremos,aburriréis,aburrirán,aburriendo,aburrido
aburrir,Indicativo,Imperfecto,aburría,aburrías,aburría,aburríamos,aburríais,aburrían,aburriendo,aburrido
aburrir,Indicativo,Pretérito,aburrí,aburriste,aburrió,aburrimos,aburristeis,aburrieron,aburriendo,aburrido
aburrir,Indicativo,Condicional,aburriría,aburrirías,aburriría,aburriríamos,aburriríais,aburrirían,aburriendo,aburrido
aburrir,Indicativo,Presente perfecto,he aburrido,has aburrido,ha aburrido,hemos aburrido,habéis aburrido,han aburrido,aburriendo,aburrido
aburrir,Indicativo,Futuro perfecto,habré aburrido,habrás aburrido,habrá aburrido,habremos aburrido,habréis aburrido,habrán aburrido,aburriendo,aburrido
aburrir,Indicativo,Pluscuamperfecto,había aburrido,habías aburrido,había aburrido,habíamos aburrido,habíais aburrido,habían aburrido,aburriendo,aburrido
aburrir,Indicativo,Pretérito anterior,hube aburrido,hubiste aburrido,hubo aburrido,hubimos aburrido,hubisteis aburrido,hubieron aburrido,aburriendo,aburrido
aburrir,Indicativo,Condicional perfecto,habría aburrido,habrías aburrido,habría aburrido,habríamos aburrido,habríais aburrido,habrían aburrido,aburriendo,aburrido
aburrir,Subjuntivo,Presente,aburra,aburras,aburra,aburramos,aburráis,aburran,aburriendo,aburrido
aburrir,Subjuntivo,Imperfecto,aburriera,aburrieras,aburriera,aburriéramos,aburrierais,aburrieran,aburriendo,aburrido
aburrir,Subjuntivo,Futuro,aburriere,aburrieres,aburriere,aburriéremos,aburriereis,aburrieren,aburriendo,aburrido
aburrir,Subjuntivo,Presente perfecto,haya aburrido,hayas aburrido,haya aburrido,hayamos aburrido,hayáis aburrido,hayan aburrido,aburriendo,aburrido
aburrir,Subjuntivo,Futuro perfecto,hubiere aburrido,hubieres aburrido,hubiere aburrido,hubiéremos aburrido,hubiereis aburrido,hubieren aburrido,aburriendo,aburrido
aburrir,Subjuntivo,Pluscuamperfecto,hubiera aburrido,hubieras aburrido,hubiera aburrido,hubiéramos aburrido,hubierais aburrido,hubieran aburrido,aburriendo,aburrido
aburrir,Imperativo Afirmativo,Presente,,aburre,aburrid,,aburra,aburran,aburriendo,aburrido
aburrir,Imperativo Negativo,Presente,,no aburras,no aburráis,,no aburra,no aburran,aburriendo,aburrido
aburrirse,Indicativo,Presente,me aburro,te aburres,se aburre,nos aburrimos,os aburrís,se aburren,aburriéndose,aburrido
aburrirse,Indicativo,Futuro,me aburriré,te aburrirás,se aburrirá,nos aburriremos,os aburriréis,se aburrirán,aburriéndose,aburrido
aburrirse,Indicativo,Imperfecto,me aburría,te aburrías,se aburría,nos aburríamos,os aburríais,se aburrían,aburriéndose,aburrido
aburrirse,Indicativo,Pretérito,me aburrí,te aburriste,se aburrió,nos aburrimos,os aburristeis,se aburrieron,aburriéndose,aburrido
aburrirse,Indicativo,Condicional,me aburriría,te aburrirías,se aburriría,nos aburriríamos,os aburriríais,se aburrirían,aburriéndose,aburrido
aburrirse,Indicativo,Presente perfecto,me he aburrido,te has aburrido,se ha aburrido,nos hemos aburrido,os habéis aburrido,se han aburrido,aburriéndose,aburrido
aburrirse,Indicativo,Futuro perfecto,me habré aburrido,te habrás aburrido,se habrá aburrido,nos habremos aburrido,os habréis aburrido,se habrán aburrido,aburriéndose,aburrido
aburrirse,Indicativo,Pluscuamperfecto,me había aburrido,te habías aburrido,se había aburrido,nos habíamos aburrido,os habíais aburrido,se habían aburrido,aburriéndose,aburrido
aburrirse,Indicativo,Pretérito anterior,me hube aburrido,te hubiste aburrido,se hubo aburrido,nos hubimos aburrido,os hubisteis aburrido,se hubieron aburrido,aburriéndose,aburrido
aburrirse,Indicativo,Condicional perfecto,me habría aburrido,te habrías aburrido,se habría aburrido,nos habríamos aburrido,os habríais aburrido,se habrían aburrido,aburriéndose,aburrido
aburrirse,Subjuntivo,Presente,me aburra,te aburras,se aburra,nos aburramos,os aburráis,se aburran,aburriéndose,aburrido
aburrirse,Subjuntivo,Imperfecto,me aburriera,te aburrieras,se aburriera,nos aburriéramos,os aburrierais,se aburrieran,aburriéndose,aburrido
aburrirse,Subjuntivo,Futuro,me aburriere,te aburrieres,se aburriere,nos aburriéremos,os aburriereis,se aburrieren,aburriéndose,aburrido
aburrirse,Subjuntivo,Presente perfecto,me haya aburrido,te hayas aburrido,se haya aburrido,nos hayamos aburrido,os hayáis aburrido,se hayan aburrido,aburriéndose,aburrido
aburrirse,Subjuntivo,Futuro perfecto,me hubiere aburrido,te hubieres aburrido,se hubiere aburrido,nos hubiéremos aburrido,os hubiereis aburrido,se hubieren aburrido,aburriéndose,aburrido
aburrirse,Subjuntivo,Pluscuamperfecto,me hubiera aburrido,te hubieras aburrido,se hubiera aburrido,nos hubiéramos aburrido,os hubierais aburrido,se hubieran aburrido,aburriéndose,aburrido
aburrirse,Imperativo Afirmativo,Presente,,abúrrete,aburríos,,abúrrase,abúrranse,aburriéndose,aburrido
aburrirse,Imperativo Negativo,Presente,,no te aburras,no os aburráis,,no se aburra,no se aburran,aburriéndose,aburrido
abusar,Indicativo,Presente,abuso,abusas,abusa,abusamos,abusáis,abusan,abusando,abusado
abusar,Indicativo,Futuro,abusaré,abusarás,abusará,abusaremos,abusaréis,abusarán,abusando,abusado
abusar,Indicativo,Imperfecto,abusaba,abusabas,abusaba,abusábamos,abusabais,abusaban,abusando,abusado
abusar,Indicativo,Pretérito,abusé,abusaste,abusó,abusamos,abusasteis,abusaron,abusando,abusado
abusar,Indicativo,Condicional,abusaría,abusarías,abusaría,abusaríamos,abusaríais,abusarían,abusando,abusado
abusar,Indicativo,Presente perfecto,he abusado,has abusado,ha abusado,hemos abusado,habéis abusado,han abusado,abusando,abusado
abusar,Indicativo,Futuro perfecto,habré abusado,habrás abusado,habrá abusado,habremos abusado,habréis abusado,habrán abusado,abusando,abusado
abusar,Indicativo,Pluscuamperfecto,había abusado,habías abusado,había abusado,habíamos abusado,habíais abusado,habían abusado,abusando,abusado
abusar,Indicativo,Pretérito anterior,hube abusado,hubiste abusado,hubo abusado,hubimos abusado,hubisteis abusado,hubieron abusado,abusando,abusado
abusar,Indicativo,Condicional perfecto,habría abusado,habrías abusado,habría abusado,habríamos abusado,habríais abusado,habrían abusado,abusando,abusado
abusar,Subjuntivo,Presente,abuse,abuses,abuse,abusemos,abuséis,abusen,abusando,abusado
abusar,Subjuntivo,Imperfecto,abusara,abusaras,abusara,abusáramos,abusarais,abusaran,abusando,abusado
abusar,Subjuntivo,Futuro,abusare,abusares,abusare,abusáremos,abusareis,abusaren,abusando,abusado
abusar,Subjuntivo,Presente perfecto,haya abusado,hayas abusado,haya abusado,hayamos abusado,hayáis abusado,hayan abusado,abusando,abusado
abusar,Subjuntivo,Futuro perfecto,hubiere abusado,hubieres abusado,hubiere abusado,hubiéremos abusado,hubiereis abusado,hubieren abusado,abusando,abusado
abusar,Subjuntivo,Pluscuamperfecto,hubiera abusado,hubieras abusado,hubiera abusado,hubiéramos abusado,hubierais abusado,hubieran abusado,abusando,abusado
abusar,Imperativo Afirmativo,Presente,,abusa,abusad,,abuse,abusen,abusando,abusado
abusar,Imperativo Negativo,Presente,,no abuses,no abuséis,,no abuse,no abusen,abusando,abusado
acabar,Indicativo,Presente,acabo,acabas,acaba,acabamos,acabáis,acaban,acabando,acabado
acabar,Indicativo,Futuro,acabaré,acabarás,acabará,acabaremos,acabaréis,acabarán,acabando,acabado
acabar,Indicativo,Imperfecto,acababa,acababas,acababa,acabábamos,acababais,acababan,acabando,acabado
acabar,Indicativo,Pretérito,acabé,acabaste,acabó,acabamos,acabasteis,acabaron,acabando,acabado
acabar,Indicativo,Condicional,acabaría,acabarías,acabaría,acabaríamos,acabaríais,acabarían,acabando,acabado
acabar,Indicativo,Presente perfecto,he acabado,has acabado,ha acabado,hemos acabado,habéis acabado,han acabado,acabando,acabado
acabar,Indicativo,Futuro perfecto,habré acabado,habrás acabado,habrá acabado,habremos acabado,habréis acabado,habrán acabado,acabando,acabado
acabar,Indicativo,Pluscuamperfecto,había acabado,habías acabado,había acabado,habíamos acabado,habíais acabado,habían acabado,acabando,acabado
acabar,Indicativo,Pretérito anterior,hube acabado,hubiste acabado,hubo acabado,hubimos acabado,hubisteis acabado,hubieron acabado,acabando,acabado
acabar,Indicativo,Condicional perfecto,habría acabado,habrías acabado,habría acabado,habríamos acabado,habríais acabado,habrían acabado,acabando,acabado
acabar,Subjuntivo,Presente,acabe,acabes,acabe,acabemos,acabéis,acaben,acabando,acabado
acabar,Subjuntivo,Imperfecto,acabara,acabaras,acabara,acabáramos,acabarais,acabaran,acabando,acabado
acabar,Subjuntivo,Futuro,acabare,acabares,acabare,acabáremos,acabareis,acabaren,acabando,acabado
acabar,Subjuntivo,Presente perfecto,haya acabado,hayas acabado,haya acabado,hayamos acabado,hayáis acabado,hayan acabado,acabando,acabado
acabar,Subjuntivo,Futuro perfecto,hubiere acabado,hubieres acabado,hubiere acabado,hubiéremos acabado,hubiereis acabado,hubieren acabado,acabando,acabado
acabar,Subjuntivo,Pluscuamperfecto,hubiera acabado,hubieras acabado,hubiera acabado,hubiéramos acabado,hubierais acabado,hubieran acabado,acabando,acabado
acabar,Imperativo Afirmativo,Presente,,acaba,acabad,,acabe,acaben,acabando,acabado
acabar,Imperativo Negativo,Presente,,no acabes,no acabéis,,no acabe,no acaben,acabando,acabado
acampar,Indicativo,Presente,acampo,acampas,acampa,acampamos,acampáis,acampan,acampando,acampado
acampar,Indicativo,Futuro,acamparé,acamparás,acampará,acamparemos,acamparéis,acamparán,acampando,acampado
acampar,Indicativo,Imperfecto,acampaba,acampabas,acampaba,acampábamos,acampabais,acampaban,acampando,acampado
acampar,Indicativo,Pretérito,acampé,acampaste,acampó,acampamos,acampasteis,acamparon,acampando,acampado
acampar,Indicativo,Condicional,acamparía,acamparías,acamparía,acamparíamos,acamparíais,acamparían,acampando,acampado
acampar,Indicativo,Presente perfecto,he acampado,has acampado,ha acampado,hemos acampado,habéis acampado,han acampado,acampando,acampado
acampar,Indicativo,Futuro perfecto,habré acampado,habrás acampado,habrá acampado,habremos acampado,habréis acampado,habrán acampado,acampando,acampado
acampar,Indicativo,Pluscuamperfecto,había acampado,habías acampado,había acampado,habíamos acampado,habíais acampado,habían acampado,acampando,acampado
acampar,Indicativo,Pretérito anterior,hube acampado,hubiste acampado,hubo acampado,hubimos acampado,hubisteis acampado,hubieron acampado,acampando,acampado
acampar,Indicativo,Condicional perfecto,habría acampado,habrías acampado,habría acampado,habríamos acampado,habríais acampado,habrían acampado,acampando,acampado
acampar,Subjuntivo,Presente,acampe,acampes,acampe,acampemos,acampéis,acampen,acampando,acampado
acampar,Subjuntivo,Imperfecto,acampara,acamparas,acampara,acampáramos,acamparais,acamparan,acampando,acampado
acampar,Subjuntivo,Futuro,acampare,acampares,acampare,acampáremos,acampareis,acamparen,acampando,acampado
acampar,Subjuntivo,Presente perfecto,haya acampado,hayas acampado,haya acampado,hayamos acampado,hayáis acampado,hayan acampado,acampando,acampado
acampar,Subjuntivo,Futuro perfecto,hubiere acampado,hubieres acampado,hubiere acampado,hubiéremos acampado,hubiereis acampado,hubieren acampado,acampando,acampado
acampar,Subjuntivo,Pluscuamperfecto,hubiera acampado,hubieras acampado,hubiera acampado,hubiéramos acampado,hubierais acampado,hubieran acampado,acampando,acampado
acampar,Imperativo Afirmativo,Presente,,acampa,acampad,,acampe,acampen,acampando,acampado
acampar,Imperativo Negativo,Presente,,no acampes,no acampéis,,no acampe,no acampen,acampando,acampado
aceptar,Indicativo,Presente,acepto,aceptas,acepta,aceptamos,aceptáis,aceptan,aceptando,aceptado
aceptar,Indicativo,Futuro,aceptaré,aceptarás,aceptará,aceptaremos,aceptaréis,aceptarán,aceptando,aceptado
aceptar,Indicativo,Imperfecto,aceptaba,aceptabas,aceptaba,aceptábamos,aceptabais,aceptaban,aceptando,aceptado
aceptar,Indicativo,Pretérito,acepté,aceptaste,aceptó,aceptamos,aceptasteis,aceptaron,aceptando,aceptado
aceptar,Indicativo,Condicional,aceptaría,aceptarías,aceptaría,aceptaríamos,aceptaríais,aceptarían,aceptando,aceptado
aceptar,Indicativo,Presente perfecto,he aceptado,has aceptado,ha aceptado,hemos aceptado,habéis aceptado,han aceptado,aceptando,aceptado
aceptar,Indicativo,Futuro perfecto,habré aceptado,habrás aceptado,habrá aceptado,habremos aceptado,habréis aceptado,habrán aceptado,aceptando,aceptado
aceptar,Indicativo,Pluscuamperfecto,había aceptado,habías aceptado,había aceptado,habíamos aceptado,habíais aceptado,habían aceptado,aceptando,aceptado
aceptar,Indicativo,Pretérito anterior,hube aceptado,hubiste aceptado,hubo aceptado,hubimos aceptado,hubisteis aceptado,hubieron aceptado,aceptando,aceptado
aceptar,Indicativo,Condicional perfecto,habría aceptado,habrías aceptado,habría aceptado,habríamos aceptado,habríais aceptado,habrían aceptado,aceptando,aceptado
aceptar,Subjuntivo,Presente,acepte,aceptes,acepte,aceptemos,aceptéis,acepten,aceptando,aceptado
aceptar,Subjuntivo,Imperfecto,aceptara,aceptaras,aceptara,aceptáramos,aceptarais,aceptaran,aceptando,aceptado
aceptar,Subjuntivo,Futuro,aceptare,aceptares,aceptare,aceptáremos,aceptareis,aceptaren,aceptando,aceptado
aceptar,Subjuntivo,Presente perfecto,haya aceptado,hayas aceptado,haya aceptado,hayamos aceptado,hayáis aceptado,hayan aceptado,aceptando,aceptado
aceptar,Subjuntivo,Futuro perfecto,hubiere aceptado,hubieres aceptado,hubiere aceptado,hubiéremos aceptado,hubiereis aceptado,hubieren aceptado,aceptando,aceptado
aceptar,Subjuntivo,Pluscuamperfecto,hubiera aceptado,hubieras aceptado,hubiera aceptado,hubiéramos aceptado,hubierais aceptado,hubieran aceptado,aceptando,aceptado
aceptar,Imperativo Afirmativo,Presente,,acepta,aceptad,,acepte,acepten,aceptando,aceptado
aceptar,Imperativo Negativo,Presente,,no aceptes,no aceptéis,,no acepte,no acepten,aceptando,aceptado
acercar,Indicativo,Presente,acerco,acercas,acerca,acercamos,acercáis,acercan,acercando,acercado
acercar,Indicativo,Futuro,acercaré,acercarás,acercará,acercaremos,acercaréis,acercarán,acercando,acercado
acercar,Indicativo,Imperfecto,acercaba,acercabas,acercaba,acercábamos,acercabais,acercaban,acercando,acercado
acercar,Indicativo,Pretérito,acerqué,acercaste,acercó,acercamos,acercasteis,acercaron,acercando,acercado
acercar,Indicativo,Condicional,acercaría,acercarías,acercaría,acercaríamos,acercaríais,acercarían,acercando,acercado
acercar,Indicativo,Presente perfecto,he acercado,has acercado,ha acercado,hemos acercado,habéis acercado,han acercado,acercando,acercado
acercar,Indicativo,Futuro perfecto,habré acercado,habrás acercado,habrá acercado,habremos acercado,habréis acercado,habrán acercado,acercando,acercado
acercar,Indicativo,Pluscuamperfecto,había acercado,habías acercado,había acercado,habíamos acercado,habíais acercado,habían acercado,acercando,acercado
acercar,Indicativo,Pretérito anterior,hube acercado,hubiste acercado,hubo acercado,hubimos acercado,hubisteis acercado,hubieron acercado,acercando,acercado
acercar,Indicativo,Condicional perfecto,habría acercado,habrías acercado,habría acercado,habríamos acercado,habríais acercado,habrían acercado,acercando,acercado
acercar,Subjuntivo,Presente,acerque,acerques,acerque,acerquemos,acerquéis,acerquen,acercando,acercado
acercar,Subjuntivo,Imperfecto,acercara,acercaras,acercara,acercáramos,acercarais,acercaran,acercando,acercado
acercar,Subjuntivo,Futuro,acercare,acercares,acercare,acercáremos,acercareis,acercaren,acercando,acercado
acercar,Subjuntivo,Presente perfecto,haya acercado,hayas acercado,haya acercado,hayamos acercado,hayáis acercado,hayan acercado,acercando,acercado
acercar,Subjuntivo,Futuro perfecto,hubiere acercado,hubieres acercado,hubiere acercado,hubiéremos acercado,hubiereis acercado,hubieren acercado,acercando,acercado
acercar,Subjuntivo,Pluscuamperfecto,hubiera acercado,hubieras acercado,hubiera acercado,hubiéramos acercado,hubierais acercado,hubieran acercado,acercando,acercado
acercar,Imperativo Afirmativo,Presente,,acerca,acercad,,acerque,acerquen,acercando,acercado
acercar,Imperativo Negativo,Presente,,no acerques,no acerquéis,,no acerque,no acerquen,acercando,acercado
